Codigo,Sitio,Replica,Fecha instalación,Fecha cierre,Días muestreo,Fecha registro,Hora registro,Temperatura,Presión atm,N. IND,Clase,Familia,Especie,Gremio,Instaladores de cámara,Observaciones,Num. Video,X,Y,ALTITUD,distance
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43596,1899-12-31 08:33:00,15,24.8,1,DIDELPHIMORPHIA,Didelphidae,Didelphis pernigra,Omnívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43608,1899-12-31 00:29:00,13,24.9,1,DIDELPHIMORPHIA,Didelphidae,Didelphis pernigra,Omnívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43614,1899-12-31 20:32:00,13,24.8,1,DIDELPHIMORPHIA,Didelphidae,Didelphis pernigra,Omnívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43621,1899-12-31 20:02:00,13,24.9,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43602,1899-12-31 00:49:00,15,24.8,1,DIDELPHIMORPHIA,Didelphidae,Didelphis pernigra,Omnívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C1,Escombrera,E1,07/05/2019,06/06/2019,30,43622,1899-12-31 05:38:00,9,24.9,1,DIDELPHIMORPHIA,Didelphidae,Didelphis pernigra,Omnívoro,"Rodrigo C, DiegoG",NA,NA,785823.9,9603012.5,1530.78,-20.72684339
E1C2,Escombrera,E1,07/05/2019,06/06/2019,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785912.4,9603088.4,1530.37,-40.56026066
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43594,1899-12-31 15:23:00,11,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43594,1899-12-31 15:23:00,11,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43605,1899-12-31 12:01:29,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43607,1899-12-31 15:26:12,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43607,1899-12-31 17:07:02,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43603,1899-12-31 16:30:25,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43611,1899-12-31 15:07:43,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43611,1899-12-31 15:08:51,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43611,1899-12-31 17:03:43,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43611,1899-12-31 15:07:17,12,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43617,1899-12-31 21:12:10,10,_,1,RODENTIA,Cricetidae,rata 1,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43619,1899-12-31 15:30:25,11,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
E1C3,Escombrera,E1,07/05/2019,06/06/2019,30,43622,1899-12-31 06:37:57,11,_,1,RODENTIA,Dasyproctidae,Dasyprocta fuliginosa,Frugívoro,"Rodrigo C, DiegoG",NA,NA,785888,9602947.2,1600.76,67.33571023
